Wind speed;Power;Wind direction
4;1.3;153.400009
3.6;0.6;138.400009
4;0.9;158.199997
4.2;0.7;143.800003
4;0.5;170.199997
4.4;1.9;189
4.3;2.2;192
5.3;3;94.099998
4.5;1.2;124.099998
4.6;2.4;162.699997
5.2;3.1;196.900009
4.3;0.5;176.5
3.1;1.3;162.400009
2.7;0.3;141.900009
4.7;2.6;180.199997
4.1;0.8;166.600006
3;0.8;160.100006
5.7;2.7;148.300003
4.1;0.9;182.199997
3.5;0.4;170.600006
3.3;0.7;134.800003
4.9;1.4;118.900002
3.9;0.5;147.600006
4.6;2;148.400009
5.1;2.9;161
4;1.6;163.300003
6;1.3;138.900009
4.5;2.6;165.100006
4.4;1.6;192.400009
4.2;1.4;150.5
4;1.2;143
4.2;1.2;125.900002
3.9;1;174.600006
3.9;0.7;134.400009
4.3;1.7;153
2.8;0.1;137.900009
3.4;0.6;129.800003
4.3;1;124.800003
3.2;0.3;146.5
2.2;0.2;155.5
3.6;0.9;133.300003
3.2;0.5;158.199997
3.7;0.4;135.300003
2.5;0.3;143.5
3.6;0.6;183.199997
2.8;0.2;212.400009
3.7;0.2;183.800003
3.3;0.9;177
3.5;1.1;175.100006
3.3;0.3;211.300003
4.2;1.5;187.100006
4.3;1.7;190.699997
4.8;2.3;158
4.8;0.8;203.100006
6;4.6;174.400009
5.4;2.9;150.5
5.2;1.3;200.199997
5.7;3.1;190.199997
4.5;2;169.300003
4.2;0.5;157.400009
7;4.1;180.600006
7.8;10;195
5.2;0.9;169.400009
5.2;1.5;185.699997
5.5;3;153
5.6;3.1;168.699997
5.8;3.8;199.699997
6.6;5.5;194.699997
4.9;3.1;203.900009
6.3;4.9;192.100006
5.4;4.2;190.900009
3.5;0.5;190.5
6.1;2.6;179
3.9;1.8;234.900009
6.3;4.4;171.5
6.7;5.8;159.600006
5.5;5.9;203.600006
7.9;3.9;181
7;4.7;172.400009
8.6;11.900001;200.900009
6.1;5;221.300003
7.7;10.900001;202.699997
5.1;1.9;198.400009
5.7;3.2;229.699997
6.6;8.1;208.300003
4.3;0.9;214.300003
4.2;0.4;228
4;0.9;251.800003
3.4;1.5;241
4.3;1.3;186
5.6;3.1;172.199997
5.8;3.1;169.199997
7.7;2.2;179.600006
4.3;0.6;176
4.6;0.4;150.5
2.7;0;195.300003
3.5;0.2;197.600006
5.2;1.4;152.600006
6.1;4.7;224.300003
5.4;3.2;173.699997
6;2.8;216.900009
3.5;0;206
4.8;1.3;164.900009
5.7;5;179
3.3;1.1;204.300003
3.2;0.7;182.199997
3.7;0.5;192
3.8;1.8;204.400009
4.8;0.9;152.900009
3.9;1;156.199997
5.1;1.6;144.600006
